,name,rating,reviews,location,sector,since,employees
229,Teleperformance,3.6,(9.6k Reviews),Paris + 113 more,Private,44 years old,50k-1 Lakh Employees (India)
230,Kotak Mahindra B...,3.9,(12.6k Reviews),"Mumbai,Maharashtra + 463 more",Public,19 years old,10k-50k Employees (India)
231,Reliance Industr...,4.1,(37.8k Reviews),"Navi Mumbai,Maharashtra + 427 more",Public,49 years old,1 Lakh+ Employees (India)
232,Bharti Airtel,4.1,(11.8k Reviews),"Gurgaon/Gurugram,Haryana + 473 more",Public,27 years old,5k-10k Employees (India)
233,Deloitte,4.1,(8.4k Reviews),"New York,New York + 134 more",Private,177 years old,10k-50k Employees (India)
234,Tata Motors,4.1,(8.4k Reviews),"Pune,Maharashtra + 377 more",Public,77 years old,50k-1 Lakh Employees (India)
235,Reliance Retail,4.1,(12.9k Reviews),"Navi Mumbai,Maharashtra + 536 more",Private,16 years old,1 Lakh+ Employees (India)
236,Mahindra & Mahin...,4.1,(19.4k Reviews),"Mumbai,Maharashtra + 393 more",Public,77 years old,10k-50k Employees (India)
237,IndusInd Bank,3.8,(6.3k Reviews),"Gurgaon/Gurugram,Haryana + 536 more",Public,28 years old,10k-50k Employees (India)
238,WNS,3.7,(6.3k Reviews),"Mumbai,Maharashtra + 20 more",Private,26 years old,10k-50k Employees (India)
239,DXC Technology,3.9,(6.3k Reviews),"Minato,Tokyo + 55 more",Public,31 years old,10k-50k Employees (India)
240,TCS,3.9,(43.3k Reviews),"Mumbai,Maharashtra + 250 more",Public,54 years old,1 Lakh+ Employees (India)
241,Accenture,4.1,(28.7k Reviews),"Dublin,Dublin + 135 more",Public,33 years old,1 Lakh+ Employees (India)
242,Cognizant,4.0,(26k Reviews),Teaneck. New Jersey. + 88 more,Private,28 years old,1 Lakh+ Employees (India)
243,ICICI Bank,4.0,(32.8k Reviews),"Mumbai,Maharashtra + 1006 more",Public,28 years old,50k-1 Lakh Employees (India)
244,Wipro,3.9,(24.5k Reviews),"Bangalore/Bengaluru,Karnataka + 258 more",Public,77 years old,1 Lakh+ Employees (India)
245,HDFC Bank,4.0,(33.9k Reviews),"Mumbai,Maharashtra + 1136 more",Public,28 years old,1 Lakh+ Employees (India)
246,Capgemini,3.9,(21k Reviews),Paris + 72 more,Public,55 years old,1 Lakh+ Employees (India)
247,HCL Technologies,3.9,(20.7k Reviews),"Noida,Uttar Pradesh + 160 more",Public,46 years old,1 Lakh+ Employees (India)
248,Infosys,4.0,(24.7k Reviews),"Bengaluru/Bangalore,Karnataka + 120 more",Public,41 years old,1 Lakh+ Employees (India)
249,Tech Mahindra,3.7,(19.2k Reviews),"Pune,Maharashtra + 190 more",Public,36 years old,50k-1 Lakh Employees (India)
250,Genpact,4.0,(19.3k Reviews),"New York,New York + 61 more",Private,25 years old,50k-1 Lakh Employees (India)
251,Axis Bank,3.9,(17.3k Reviews),"Mumbai,Maharashtra + 1011 more",Public,29 years old,50k-1 Lakh Employees (India)
252,IBM,4.2,(14.2k Reviews),"Armonk,New York + 112 more",Public,111 years old,50k-1 Lakh Employees (India)
253,Amazon,4.2,(13.7k Reviews),"Seattle,Washington + 333 more",Private,28 years old,1 Lakh+ Employees (India)
254,Concentrix Corpo...,4.1,(13.7k Reviews),"Fremont,California + 63 more",Public,39 years old,10k-50k Employees (India)
255,Larsen & Toubro ...,4.1,(18.6k Reviews),"Mumbai,Maharashtra + 500 more",Public,84 years old,10k-50k Employees (India)
256,Reliance jio,4.0,(13.3k Reviews),"Navi Mumbai,Maharashtra + 917 more",Public,15 years old,10k-50k Employees (India)
257,Vodafone Idea,4.3,(13k Reviews),"Gandhinagar,Gujrat + 552 more",Public,4 years old,10k-50k Employees (India)
258,HDB Financial Se...,4.0,(12k Reviews),"Ahmedabad,Gujrat + 719 more",Private,15 years old,1 Lakh+ Employees (India)
259,Teleperformance,3.6,(9.6k Reviews),Paris + 113 more,Private,44 years old,50k-1 Lakh Employees (India)
260,Kotak Mahindra B...,3.9,(12.6k Reviews),"Mumbai,Maharashtra + 463 more",Public,19 years old,10k-50k Employees (India)
261,Reliance Industr...,4.1,(37.8k Reviews),"Navi Mumbai,Maharashtra + 427 more",Public,49 years old,1 Lakh+ Employees (India)
262,Bharti Airtel,4.1,(11.8k Reviews),"Gurgaon/Gurugram,Haryana + 473 more",Public,27 years old,5k-10k Employees (India)
263,Deloitte,4.1,(8.4k Reviews),"New York,New York + 134 more",Private,177 years old,10k-50k Employees (India)
264,Tata Motors,4.1,(8.4k Reviews),"Pune,Maharashtra + 377 more",Public,77 years old,50k-1 Lakh Employees (India)
265,Reliance Retail,4.1,(12.9k Reviews),"Navi Mumbai,Maharashtra + 536 more",Private,16 years old,1 Lakh+ Employees (India)
266,Mahindra & Mahin...,4.1,(19.4k Reviews),"Mumbai,Maharashtra + 393 more",Public,77 years old,10k-50k Employees (India)
267,IndusInd Bank,3.8,(6.3k Reviews),"Gurgaon/Gurugram,Haryana + 536 more",Public,28 years old,10k-50k Employees (India)
268,WNS,3.7,(6.3k Reviews),"Mumbai,Maharashtra + 20 more",Private,26 years old,10k-50k Employees (India)
269,DXC Technology,3.9,(6.3k Reviews),"Minato,Tokyo + 55 more",Public,31 years old,10k-50k Employees (India)
270,TCS,3.9,(43.3k Reviews),"Mumbai,Maharashtra + 250 more",Public,54 years old,1 Lakh+ Employees (India)
271,Accenture,4.1,(28.7k Reviews),"Dublin,Dublin + 135 more",Public,33 years old,1 Lakh+ Employees (India)
272,Cognizant,4.0,(26k Reviews),Teaneck. New Jersey. + 88 more,Private,28 years old,1 Lakh+ Employees (India)
273,ICICI Bank,4.0,(32.8k Reviews),"Mumbai,Maharashtra + 1006 more",Public,28 years old,50k-1 Lakh Employees (India)
274,Wipro,3.9,(24.5k Reviews),"Bangalore/Bengaluru,Karnataka + 258 more",Public,77 years old,1 Lakh+ Employees (India)
275,HDFC Bank,4.0,(33.9k Reviews),"Mumbai,Maharashtra + 1136 more",Public,28 years old,1 Lakh+ Employees (India)
276,Capgemini,3.9,(21k Reviews),Paris + 72 more,Public,55 years old,1 Lakh+ Employees (India)
277,HCL Technologies,3.9,(20.7k Reviews),"Noida,Uttar Pradesh + 160 more",Public,46 years old,1 Lakh+ Employees (India)
278,Infosys,4.0,(24.7k Reviews),"Bengaluru/Bangalore,Karnataka + 120 more",Public,41 years old,1 Lakh+ Employees (India)
279,Tech Mahindra,3.7,(19.2k Reviews),"Pune,Maharashtra + 190 more",Public,36 years old,50k-1 Lakh Employees (India)
280,Genpact,4.0,(19.3k Reviews),"New York,New York + 61 more",Private,25 years old,50k-1 Lakh Employees (India)
281,Axis Bank,3.9,(17.3k Reviews),"Mumbai,Maharashtra + 1011 more",Public,29 years old,50k-1 Lakh Employees (India)
282,IBM,4.2,(14.2k Reviews),"Armonk,New York + 112 more",Public,111 years old,50k-1 Lakh Employees (India)
283,Amazon,4.2,(13.7k Reviews),"Seattle,Washington + 333 more",Private,28 years old,1 Lakh+ Employees (India)
284,Concentrix Corpo...,4.1,(13.7k Reviews),"Fremont,California + 63 more",Public,39 years old,10k-50k Employees (India)
285,Larsen & Toubro ...,4.1,(18.6k Reviews),"Mumbai,Maharashtra + 500 more",Public,84 years old,10k-50k Employees (India)
286,Reliance jio,4.0,(13.3k Reviews),"Navi Mumbai,Maharashtra + 917 more",Public,15 years old,10k-50k Employees (India)
287,Vodafone Idea,4.3,(13k Reviews),"Gandhinagar,Gujrat + 552 more",Public,4 years old,10k-50k Employees (India)
288,HDB Financial Se...,4.0,(12k Reviews),"Ahmedabad,Gujrat + 719 more",Private,15 years old,1 Lakh+ Employees (India)
289,Teleperformance,3.6,(9.6k Reviews),Paris + 113 more,Private,44 years old,50k-1 Lakh Employees (India)
290,Kotak Mahindra B...,3.9,(12.6k Reviews),"Mumbai,Maharashtra + 463 more",Public,19 years old,10k-50k Employees (India)
291,Reliance Industr...,4.1,(37.8k Reviews),"Navi Mumbai,Maharashtra + 427 more",Public,49 years old,1 Lakh+ Employees (India)
292,Bharti Airtel,4.1,(11.8k Reviews),"Gurgaon/Gurugram,Haryana + 473 more",Public,27 years old,5k-10k Employees (India)
293,Deloitte,4.1,(8.4k Reviews),"New York,New York + 134 more",Private,177 years old,10k-50k Employees (India)
294,Tata Motors,4.1,(8.4k Reviews),"Pune,Maharashtra + 377 more",Public,77 years old,50k-1 Lakh Employees (India)
295,Reliance Retail,4.1,(12.9k Reviews),"Navi Mumbai,Maharashtra + 536 more",Private,16 years old,1 Lakh+ Employees (India)
296,Mahindra & Mahin...,4.1,(19.4k Reviews),"Mumbai,Maharashtra + 393 more",Public,77 years old,10k-50k Employees (India)
297,IndusInd Bank,3.8,(6.3k Reviews),"Gurgaon/Gurugram,Haryana + 536 more",Public,28 years old,10k-50k Employees (India)
298,WNS,3.7,(6.3k Reviews),"Mumbai,Maharashtra + 20 more",Private,26 years old,10k-50k Employees (India)
299,DXC Technology,3.9,(6.3k Reviews),"Minato,Tokyo + 55 more",Public,31 years old,10k-50k Employees (India)
